"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","contrast","cluster"
"GO:0043410","positive regulation of MAPK cascade","10/60","474/18860",0.0210970464135021,6.63150492264416,7.01497361432912,2.23693115233331e-06,0.00365514550291263,0.00293626647048383,"NMNAT1/FGA/LEP/FZD10/IL6/MARCO/ICAM1/VEGFB/GPNMB/APOE",10,"up_DEPs","C0_vs_None","C0"
"GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","5/60","86/18860",0.0581395348837209,18.2751937984496,9.07088743891908,7.85950071542533e-06,0.00642121208450249,0.00515831441691336,"TNFRSF10A/BLOC1S2/FGA/TNFRSF10B/ICAM1",5,"up_DEPs","C0_vs_None","C0"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","6/60","201/18860",0.0298507462686567,9.38308457711443,6.75015468228881,4.21762705576069e-05,0.0229720086970432,0.018453968205381,"FGA/MARCO/ICAM1/VEGFB/GPNMB/APOE",6,"up_DEPs","C0_vs_None","C0"
"GO:0001934","positive regulation of protein phosphorylation","6/60","231/18860",0.025974025974026,8.16450216450217,6.18946722590376,9.11753911714966e-05,0.0372451472935564,0.0299199244186464,"TNFRSF10A/FAM20A/TNFRSF10B/LEP/IL6/VEGFB",6,"up_DEPs","C0_vs_None","C0"
"GO:0042327","positive regulation of phosphorylation","6/60","254/18860",0.0236220472440945,7.4251968503937,5.82415358040618,0.000153214584999814,0.0477682181937108,0.0383733608758342,"TNFRSF10A/FAM20A/TNFRSF10B/LEP/IL6/VEGFB",6,"up_DEPs","C0_vs_None","C0"
"GO:0044282","small molecule catabolic process","7/60","373/18860",0.0187667560321716,5.89901697944593,5.3986624079458,0.000175403493979354,0.0477682181937108,0.0383733608758342,"LEP/UPB1/FTCD/HAO1/RBKS/APOE/ADH4",7,"up_DEPs","C0_vs_None","C0"
"GO:0046164","alcohol catabolic process","3/60","38/18860",0.0789473684210526,24.8157894736842,8.30194643944396,0.000238548893707024,0.0479943901732517,0.0385550502776814,"HAO1/APOE/ADH4",3,"up_DEPs","C0_vs_None","C0"
"GO:0032147","activation of protein kinase activity","3/60","39/18860",0.0769230769230769,24.1794871794872,8.18598247272918,0.000257844369338945,0.0479943901732517,0.0385550502776814,"TNFRSF10A/TNFRSF10B/LEP",3,"up_DEPs","C0_vs_None","C0"
"GO:0170062","nutrient storage","4/60","101/18860",0.0396039603960396,12.4488448844884,6.51738756038209,0.000300135328349783,0.0479943901732517,0.0385550502776814,"LEP/IL6/APOE/KHDC3L",4,"up_DEPs","C0_vs_None","C0"
"GO:0097242","amyloid-beta clearance","3/60","42/18860",0.0714285714285714,22.452380952381,7.86265906481904,0.000321703619735272,0.0479943901732517,0.0385550502776814,"MME/MARCO/APOE",3,"up_DEPs","C0_vs_None","C0"
